uid,memQ_0,memA_0,memQ_1,memA_1,memQ_2,memA_2,memQ_3,memA_3,memQ_4,memA_4,Fink_Q_1,Fink_Q_2,Fink_Q_3,Fink_Q_4,Fink_Q_5,Attention_Q_1,Device_Q,Calstera_Q_1,Calstera_Q_2,Calstera_Q_3,Calstera_Q_4,Attention_Q_2,Calstera_Q_5,Calstera_Q_6,Calstera_Q_7,Calstera_Q_8,Calstera_Q_9,Calstera_Q_10,Calstera_Q_11,Calstera_Q_12,Calstera_Q_13,Calstera_Q_14,Calstera_Q_15,Calstera_Q_16,Calstera_Q_17,q_comments
32866,2457361,2746714,6134275,614275,1726534,1726534,1736245,1723245,3754621,3754621,7,7,7,4,6,7,Desktop,5,5,5,5,1,6,6,6,6,5,4,6,5,6,6,5,5,2,no
92490,6523147,653214567,4125367,4152367,4762135,4762351,1246753,12456753,2647315,2467135,5,4,6,6,3,7,Smartphone,3,5,5,6,1,3,6,2,2,4,6,4,4,2,6,4,2,5,I sometimes find it hard to remember a number sequence and may look at it a few times to get it correct
38511,4253671,4253671,2576341,2576341,3517642,3571642,6572314,6572314,2163457,4163257,1,1,1,1,3,7,Smartphone,1,4,1,4,1,3,7,1,1,1,5,7,2,1,7,5,1,1,No
53896,2567314,3741793,7265341,7265341,4736512,4772512,3465172,3465712,1764352,4764352,6,7,7,5,2,7,Smartphone,6,2,6,3,1,5,6,7,7,6,1,2,7,5,2,3,6,6,No thank you
71263,,,2153674,2153674,4361275,4361275,5426173,5426173,5146723,5146723,6,6,6,7,5,7,Smartphone,4,4,3,6,1,6,6,7,5,6,2,5,6,7,6,4,3,3,No
91591,,,2541763,25471,,,4257316,4257316,5134276,5134276,5,3,5,5,4,7,Smartphone,5,5,4,4,1,4,6,3,6,5,4,4,6,6,5,6,5,2,No
26969,1523647,1523647,1524673,152567,4715623,471562,5627314,5627314,7612534,7652134,7,7,7,5,3,7,Smartphone,1,1,4,7,1,5,3,7,7,7,1,6,6,7,1,6,4,4,No thanks
22166,2345176,2345176,2564731,247631,6341572,6357412,2541376,234716,1674325,1467325,6,6,4,5,3,7,Smartphone,7,6,5,5,3,6,2,5,4,5,4,5,4,3,6,5,4,6,No
68456,2375614,3214,3471625,348165,4712356,4813456,2547163,5747163,1352467,135467,6,5,6,7,4,7,Smartphone,6,4,5,6,1,4,5,7,6,7,2,2,7,5,2,4,5,3,No
63259,7421563,7421563,5417632,5417632,7451236,7451236,3254167,3254167,6527341,652731,5,3,5,6,3,7,Smartphone,5,2,4,6,1,5,6,6,2,5,3,7,6,5,6,5,3,2,No
56911,4132576,4132576,3154627,315267,2156734,2156734,3246571,3246571,4576123,457612,5,3,2,5,3,7,Smartphone,6,6,5,7,1,6,4,5,3,6,4,3,5,4,5,6,6,3,No
78578,6527341,653427,7632154,7632154,3562417,3562417,3547162,3574162,1723465,1723465,7,7,6,3,6,7,Laptop,6,2,2,7,1,6,6,6,2,6,2,6,5,6,2,2,4,2,no
32147,4275316,4275136,1675234,1675234,1735462,1735461,5173462,5175361,2631475,2631415,6,2,3,7,5,7,Smartphone,2,5,6,3,1,2,1,7,2,5,3,5,5,7,5,3,1,1,N/A
51234,2371456,2371456,2165473,216745,1357462,1357462,3245617,3245617,3751426,3751426,6,5,5,5,1,7,Smartphone,6,4,3,6,1,5,4,2,1,1,5,5,4,6,4,5,6,2,No
51346,,,4625731,4625731,6321574,6543217,6547231,6527651,2657143,2567321,4,2,1,4,2,7,Smartphone,2,3,4,3,1,2,4,3,3,3,2,4,5,6,3,5,5,5,No
72308,5341672,5436,2537146,2357,6752314,675421,4135672,4536712,1562374,1562374,6,5,6,3,3,7,Smartphone,5,5,5,4,1,4,3,5,5,4,5,4,4,5,3,4,5,3,Nothing
7691,3745612,34561,4365712,4365713,2746513,2746513,1372564,1372564,4615273,4615274,3,2,4,5,5,7,Smartphone,3,4,5,2,1,2,5,6,6,4,4,4,7,5,4,7,2,4,No
24755,1345672,12357,2465713,2465713,7351246,7354716,2614375,2461375,4156723,4156723,6,4,5,7,4,7,Smartphone,2,4,5,3,1,3,3,5,5,4,5,3,4,7,5,5,4,4,No thank you
83296,4517236,4517326,2713546,27135467,1347256,1347426,5763241,763241,4367512,743652,2,2,3,6,6,7,Smartphone,2,6,5,3,1,2,6,2,3,3,5,3,5,6,6,5,2,5,No
38552,1253467,1253467,3754261,3754261,1573426,1578426,3547162,154762,1456273,1456273,7,7,4,6,6,7,Laptop,3,3,5,6,1,4,5,3,2,6,6,5,7,7,4,5,3,5,no
11261,4726153,472653,7612543,7615423,5347216,5742216,4762153,4756213,1356724,1356724,7,7,7,5,2,7,Smartphone,6,2,6,7,1,6,2,7,7,7,2,2,7,7,6,7,7,2,Mobile hurts us
63625,3162745,3162745,1457632,1457632,5621347,5621347,2631754,2631754,4273165,4273165,5,4,5,6,5,7,Smartphone,2,4,3,3,1,3,4,6,3,3,6,5,5,7,5,3,2,2,No
70688,7231456,753216,3172654,3712754,2435176,2531756,4361257,4327357,2651743,2651743,4,5,6,5,2,7,Smartphone,4,3,6,4,1,5,1,5,3,6,3,2,5,6,3,5,6,2,No
29909,6714523,67152,3175264,75264,4217536,4217256,4265713,4265713,1372645,2743652,5,6,5,4,5,7,Smartphone,3,5,3,6,1,6,3,6,6,6,4,6,6,7,6,6,3,1,No
64317,3456712,3456712,4513276,23,6145237,614237,7421356,74213456,3764125,342167,2,6,4,6,2,7,Smartphone,3,3,5,3,1,2,1,7,7,7,2,2,1,1,6,6,2,2,No
82416,1352764,1352746,6437512,6543712,4367251,4376521,2471536,2471532,4673152,4673152,2,2,2,1,5,7,Smartphone,5,3,6,2,1,2,2,7,5,4,3,2,2,4,5,5,2,1,No
59762,3126745,3126745,2531476,2531476,7436251,7436421,6473125,6473125,6457213,6457213,5,6,6,3,2,7,Smartphone,5,3,4,4,1,5,5,4,2,5,6,5,2,5,4,5,3,5,N/A
93013,5312467,5312467,6574312,6574312,4753126,4753126,2546317,2546317,2356417,2536417,5,6,6,4,3,7,Smartphone,2,6,6,7,1,7,4,3,3,7,7,6,2,7,2,6,3,3,Not really
23956,2361754,2361754,2761345,2761345,5763412,5761432,2347156,2347156,3152467,3152467,4,5,3,6,6,7,Smartphone,2,2,5,5,1,3,7,2,1,3,1,3,6,7,3,3,5,1,No
49473,6217354,127435,3152647,315267,1732546,17352,7521643,712534,1237465,123746,4,1,4,4,4,7,Laptop,1,6,1,4,1,1,7,1,4,4,7,4,6,4,1,4,1,4,no
6009,1472536,1472536,6413527,6413527,5264317,5264317,3746125,3746125,1452763,1452763,6,6,4,4,4,7,Smartphone,4,6,4,7,1,5,5,2,4,7,2,7,5,6,5,7,4,3,Depending on what situation I am in affects how I am also
18653,4365271,4365271,2516374,2513671,6157234,6157234,4653712,4653712,4326715,4326714,6,5,5,4,2,7,Smartphone,6,4,4,6,1,6,4,6,5,5,3,6,4,7,3,6,6,3,No
5140,1234675,123456,1365724,1365724,1735264,1735624,2173564,2173564,1537246,7246,6,4,3,1,2,7,Smartphone,3,5,4,5,1,4,6,4,4,5,4,6,4,6,5,3,3,2,No thanks 
90157,6315427,63154,6357124,63512,2436157,2346157,7341526,7314526,4316527,4316527,3,2,2,2,5,7,Smartphone,2,4,3,5,1,4,5,2,2,4,5,5,3,3,5,5,2,3,No
14384,5617342,5617342,3426517,3421687,7125643,7125643,6572431,6572341,5647312,5647312,2,1,1,4,6,7,Smartphone,1,6,2,2,1,1,6,2,1,1,6,1,1,5,6,5,2,4,No
54015,1253764,1235674,4376125,437615,6214573,6271456,2516734,2576153,2165374,14736,3,4,5,4,3,7,Smartphone,4,5,4,4,1,4,4,4,4,4,4,5,4,5,4,5,4,4,No
56369,2146753,2146753,2156374,2156374,6345217,6345217,3625174,3625174,1536742,1536742,4,3,2,5,2,7,Smartphone,3,3,3,5,1,6,6,5,7,5,2,6,6,7,6,6,3,1,No
23819,6341527,6341527,3256174,3256147,5276134,5276143,6315724,6315724,6145327,6345127,6,7,2,5,3,7,Laptop,3,2,4,6,1,5,2,7,2,6,2,6,7,7,6,5,5,3,No
48481,3416275,3416275,5713264,5713264,7324516,7324516,2645371,2645371,3751462,3751462,6,7,6,7,3,7,Smartphone,6,2,2,7,1,6,3,1,2,5,2,7,6,7,2,2,6,1,N/A
77535,4172635,5,2315764,6,6132475,7,5741623,57413,2436175,24675,7,7,7,6,3,7,Smartphone,6,3,6,6,1,4,3,6,6,6,3,3,6,6,3,4,5,3,N/A
96402,5462173,5462173,7426513,7426513,7645123,7645123,3516472,3516472,7123465,7123465,5,4,5,3,3,7,Smartphone,5,3,6,5,1,4,5,5,4,3,3,4,5,5,3,4,4,3,N/A
13882,5271346,427,6237541,6237451,7614235,761432,2547316,453716,7426351,7426351,5,1,6,7,7,7,Laptop,3,5,5,5,1,7,7,5,4,5,3,6,7,5,5,6,5,3,nothing
25401,2415367,2415367,3461752,3461752,7236451,7236451,6427531,6427541,4356721,4256721,4,5,2,3,4,7,Laptop,4,5,4,4,1,5,2,3,4,5,4,5,5,4,4,4,5,3,n/a
48822,7465312,746531,5412367,5412368,4213675,4213678,1547362,1547362,7253461,2534621,1,1,1,3,3,7,Smartphone,2,6,2,5,1,4,1,1,1,4,1,6,4,2,5,6,5,1,No
94123,5416732,65432461,3574216,3574216,3765142,3765425,5614732,5671732,3245761,3245671,1,1,1,7,6,7,Desktop,1,6,1,1,1,7,7,7,4,7,2,6,7,7,4,7,3,1,N/A
55693,6742351,6742351,3714652,3764152,3761524,3761524,4736152,735124,1543672,127652,7,7,6,3,1,7,Smartphone,6,2,2,6,1,6,6,2,2,6,3,6,5,6,2,6,6,2,"I find remembering number sequences like the one shown really difficult on mobile, as I still have the previous numbers in my mind. Noises I find extremely stressful, and I cannot work properly on a mobile as the outside noise leaves me unable to concentrate completely "
7774,4523176,4523186,1463275,1463275,1326475,1326475,2451763,24517463,3425761,3425746,6,6,6,4,3,7,Smartphone,6,3,6,3,1,4,2,4,6,6,2,2,6,4,2,6,5,5,No thanks 
69217,1765432,175432,3157264,314725,6215743,6215743,2315674,32315674,4162375,4162375,2,7,7,5,7,7,Laptop,1,4,7,1,1,1,1,4,2,2,5,3,7,7,5,4,4,4,The attention question was structured in a odd way. It asked to choose the option located on the  left  but th scale wasn't pararell  but vertical I choose 1 but I'm not too sure if that alright. 
98205,4361725,436712,6327154,637251,6753241,6753241,5631742,536472,7216534,7216543,5,4,4,7,6,7,Smartphone,1,3,2,5,1,5,7,5,3,3,5,5,4,6,5,4,3,4,N/a
5506,6517234,6517234,7521643,7521634,6721345,6723145,7563421,7563421,2463715,24631745,6,6,6,6,2,7,Smartphone,7,2,1,5,1,6,4,3,2,5,3,7,6,7,3,3,5,1,No
80791,5314276,4276,3476125,3476125,3562741,3562741,1672435,1672435,5261473,5261473,6,7,7,7,5,7,Smartphone,7,5,7,7,1,7,7,7,7,7,3,7,7,7,1,4,1,1,No
20420,6134725,6357,4675312,467352,2647531,2467531,2617435,247654,7231456,723416,7,5,7,2,2,7,Smartphone,4,5,3,6,1,5,4,4,4,4,5,5,4,6,4,6,5,3,No
1462,7326154,7326154,5374162,57621,3417625,3417625,4675231,4675231,3745612,3745612,2,2,2,2,6,7,Smartphone,1,5,4,3,1,4,7,5,6,3,5,5,5,3,7,7,5,1,No
77609,3547126,3547126,2643175,2643175,2153476,2153476,7652341,7652341,5621374,5621374,3,1,1,4,5,7,Smartphone,5,5,2,7,1,5,7,1,1,4,4,7,4,6,5,4,1,5,No
68338,7546312,7546312,2657431,2576431,7361524,736512,5732461,5736421,5246731,5246731,5,5,5,1,1,7,Smartphone,6,1,3,6,1,6,5,2,2,5,2,6,2,4,4,5,2,2,No
71197,4526731,45267313,6415237,6415237,2461375,246135,1346275,1346275,2154367,215467,5,5,5,4,4,7,Smartphone,6,4,4,6,1,6,4,4,2,4,3,3,3,5,3,6,4,3,No
5998,3146257,3546297,7543261,7543261,1423675,1423675,2713564,2713564,1534267,1534267,6,7,5,7,7,7,Smartphone,5,2,4,6,1,5,4,7,7,7,3,3,7,7,7,3,5,5,no
1130,4215637,6374,2137654,2137654,3157624,3157624,5647132,5647132,4361725,4361725,6,4,3,3,5,7,Smartphone,4,5,3,5,1,5,3,5,3,3,3,5,6,5,3,5,5,6,No
89811,6421375,73,2351746,2315745,2163754,217345,3742615,37214657,7432651,7432617,4,6,5,5,4,7,Smartphone,6,5,6,4,1,4,5,5,5,5,3,3,5,4,4,4,4,5,N/a
5135,4325671,4321561,3617452,345761,3752146,375421,1326574,132764,7421536,74314,7,4,7,7,1,7,Smartphone,7,4,2,7,1,7,1,7,1,4,1,7,3,7,2,6,3,2,No
71633,3657124,3756124,1572364,1572364,2143567,2534456,2315467,346347,3562147,3562147,4,4,3,6,5,7,Desktop,3,3,4,6,1,5,6,3,4,3,3,3,6,6,5,5,3,5,Working and listening to music should not be a distarction 
18680,,,2315674,2315674,6125347,124367,6352174,6235174,4156273,,5,6,4,5,4,7,Smartphone,5,3,5,5,1,3,5,5,4,4,6,4,4,3,5,4,6,4,No
44331,7325461,7325461,3562147,356421,3471256,347261,4312657,431267,1745623,174562,6,2,5,6,6,7,Smartphone,7,6,2,6,1,7,2,4,1,6,2,7,7,7,2,3,4,2,No
61608,4756123,4756123,4712365,4761523,7246153,7246153,6537412,6537412,1537624,1537624,5,3,3,6,2,7,Smartphone,1,3,4,5,1,4,3,6,5,5,2,4,7,6,3,5,4,3,n/a
36588,1643725,165,6412753,641475,2576431,25764,2371654,23716,7641253,7641,6,5,6,6,4,7,Laptop,5,4,5,4,1,3,4,5,2,4,4,4,5,6,4,5,4,3,N/A
20343,5176324,517324,1472563,1472563,3265147,3265147,5372146,5372146,6714325,6714235,5,6,6,5,3,7,Smartphone,2,5,3,5,1,5,3,3,3,6,3,6,5,6,2,6,3,3,No
85996,7524613,752461,4571263,457126,2456173,245617,7156243,715426,5342167,534217,5,6,6,7,3,7,Smartphone,3,3,3,4,1,6,6,4,5,5,6,6,6,6,4,5,6,5,No
17902,4357261,1,1642537,1642537,3576421,3576421,7413256,7413256,2173546,2173546,7,7,7,7,5,7,Desktop,6,2,6,5,1,4,4,7,6,7,4,3,7,6,4,6,4,7,I did not understand what I was supposed to click for the attention checking question.  There was nothing to the left of the scale.
5057,7246513,75413,2537641,253761,2463571,2463571,6524713,6524731,4562173,456217,5,4,4,2,4,7,Smartphone,2,4,2,5,1,2,4,6,2,3,5,4,5,4,4,5,3,4,No
86290,4312657,4312657,6437215,437,3264517,3265471,4751362,4751362,3124675,3124675,6,5,6,6,6,7,Smartphone,4,3,3,6,1,4,2,4,4,5,4,6,5,7,2,4,4,2,All good 
88111,3542167,3542167,7425163,742516,7513426,7513462,5167243,516723,2154736,2154736,1,4,3,6,2,7,Smartphone,5,4,5,2,1,1,6,6,3,4,7,2,6,6,3,2,5,2,No
72245,4357261,4357261,3162475,3162475,7321645,7321645,4526713,4526713,2536174,2536174,6,6,6,4,3,7,Smartphone,3,4,3,4,1,3,2,6,4,5,4,4,6,5,4,3,2,4,No
25051,1526473,15624731,4216357,4216357,3427516,3247516,3172654,3172654,3127645,3127645,4,1,5,5,3,7,Smartphone,1,5,1,5,1,1,1,6,7,1,6,3,6,7,7,4,1,1,Nope
58312,4167325,41675,1362745,1362745,3146725,3126745,6325147,6125147,1243567,1243567,2,2,1,6,6,7,Smartphone,2,4,4,3,1,2,4,6,5,6,5,5,6,6,6,6,2,4,No
13305,5371642,5371642,5146723,5146723,3271564,3271564,7342651,7342561,7216453,7214653,7,7,5,7,1,7,Desktop,7,1,1,4,1,6,1,7,5,7,1,7,7,7,3,4,1,1,no
44698,2715643,2715643,4537126,4537612,3417652,3417652,6142357,6154372,7613254,7613254,5,5,6,6,2,7,Smartphone,6,4,5,3,1,5,6,4,2,5,3,5,6,4,3,5,3,2,No
